来法国生活时长,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,文化保持,社会保持,文化接触,社会接触,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭沟通频率,沟通坦诚度,自主性,自主性,社会联结感,社会联结感,社会联结感,社会联结感,社会联结感,开放性
38,4,4,4,4,4,4,4,3,4,2,6,5,1,5,4,4,3,4,5,4,3,4,5,5,5,5,5,4,2,6
12,4,4,4,3,2,3,1,4,4,6,6,6,3,3,3,5,5,4,4,4,5,4,3,3,5,6,5,4,4,6
26,4,2,4,2,3,4,4,1,5,4,4,6,3,5,4,2,1,5,4,5,4,3,5,5,4,4,3,4,6,5
45,1,1,2,4,4,3,3,2,7,5,4,2,4,4,5,3,5,5,4,5,3,3,3,2,3,4,5,4,3,4
22,4,3,4,3,4,4,4,4,7,7,5,6,4,5,5,4,5,2,4,2,4,4,4,4,3,6,6,6,5,5
5,1,2,4,1,1,1,4,4,6,5,3,2,5,4,5,4,3,5,4,5,5,4,4,4,3,3,3,1,3,3
29,3,3,4,3,1,4,3,3,3,5,7,7,5,5,4,4,5,3,3,2,3,4,3,3,5,5,5,4,4,5
24,2,1,4,4,1,3,4,4,4,2,4,4,3,4,3,4,2,5,2,4,3,3,5,5,2,3,6,5,4,3
11,3,2,3,3,3,1,1,3,6,5,1,2,4,4,5,3,5,5,5,3,5,4,4,4,4,5,4,1,5,4
6,2,4,3,2,1,3,1,4,7,7,1,1,3,5,2,5,5,5,3,3,5,5,3,4,3,4,3,1,1,3
17,1,2,3,4,2,1,1,2,5,1,2,1,2,5,1,2,1,3,1,1,1,2,3,3,2,2,6,1,2,5
32,2,4,3,3,4,4,2,4,7,4,6,5,3,4,2,5,5,4,4,3,4,3,3,3,2,4,4,6,6,4
48,4,2,2,4,1,2,4,4,5,5,6,6,5,3,4,5,5,5,4,4,5,2,2,2,6,4,1,6,4,7
26,4,4,4,3,1,4,4,3,4,4,5,5,4,5,2,4,2,5,5,4,2,4,2,1,6,5,3,4,2,5
6,2,1,3,1,2,2,1,2,2,2,3,3,2,1,1,3,2,3,1,2,3,1,3,1,2,6,1,1,3,4
34,3,4,2,3,3,3,3,3,3,3,6,6,5,5,5,4,3,5,4,5,4,4,3,2,6,5,4,3,5,6
2,2,3,2,2,2,2,2,4,5,5,3,1,4,5,3,5,4,2,5,3,4,5,4,4,3,3,5,2,3,4
15,3,4,2,2,3,2,3,4,7,5,5,3,3,1,3,3,3,1,3,3,3,4,2,2,3,2,4,3,4,4
37,4,3,4,4,4,2,4,4,4,2,5,7,5,4,4,5,4,5,3,5,5,4,5,4,6,3,6,3,5,6
42,4,4,2,3,2,4,4,4,3,7,5,5,5,1,5,4,3,5,1,4,4,5,5,5,4,4,6,5,5,2
13,1,2,1,2,4,4,2,4,3,6,5,4,5,4,1,4,2,4,3,3,3,1,4,5,5,5,2,1,4,4
20,1,1,4,2,2,3,3,4,3,5,2,5,5,4,5,5,2,4,5,5,2,2,3,2,2,5,1,6,5,5
36,4,4,4,4,2,3,2,4,4,7,7,6,3,4,2,5,5,4,2,5,3,3,4,5,6,5,5,2,3,5
36,2,4,4,3,4,3,4,4,2,4,4,6,3,5,5,4,3,4,3,5,4,5,4,3,4,4,4,4,6,3
9,3,2,3,4,3,2,4,3,6,6,2,3,4,4,5,4,3,3,5,5,4,4,4,5,4,4,1,4,3,5
22,3,4,4,4,4,4,3,3,4,5,7,7,5,5,5,4,4,2,1,5,4,5,5,4,4,6,5,5,1,4
5,3,2,2,2,3,4,3,4,5,5,2,1,5,5,2,5,2,1,5,1,3,3,2,1,5,4,2,5,3,6
24,2,3,2,3,3,3,3,2,5,4,5,4,4,4,4,3,3,3,3,4,2,2,4,4,3,3,3,3,3,5
23,4,4,4,3,4,1,4,4,6,5,6,5,5,5,2,3,5,2,1,4,4,2,3,2,5,5,3,4,5,6
17,4,4,4,4,1,3,4,3,6,6,7,4,4,5,3,4,4,5,4,5,2,4,4,4,5,3,6,4,5,4
20,4,3,3,2,1,4,4,4,4,5,7,3,5,3,4,4,1,3,4,5,4,2,5,4,5,5,4,2,5,5
41,3,3,4,4,4,3,4,3,5,5,5,6,2,4,5,4,5,3,5,4,4,3,4,3,5,4,4,4,6,5
36,3,4,4,3,4,4,3,4,4,7,7,7,3,3,3,5,4,4,5,4,5,2,4,4,4,5,5,6,3,5
44,4,4,2,2,1,1,1,3,4,4,5,5,2,1,5,3,4,2,2,2,2,1,3,3,3,3,5,5,3,5
5,1,3,2,1,3,4,1,4,5,7,1,1,3,2,3,5,3,5,5,4,3,5,4,3,2,6,2,4,2,3
42,3,4,4,4,3,4,4,4,5,5,6,6,3,5,3,5,1,4,4,5,5,4,4,4,3,4,4,5,5,4
10,3,2,3,4,4,3,1,3,7,3,2,2,5,5,3,4,1,1,4,3,5,5,4,3,1,4,4,2,2,4
19,3,3,2,3,1,3,2,3,6,3,5,6,5,4,2,5,5,4,3,4,3,3,4,4,6,4,6,6,6,5
15,1,3,1,2,1,1,3,3,2,2,3,3,1,2,3,3,4,1,1,3,1,1,3,3,2,2,3,6,2,6
21,2,1,2,4,2,1,1,2,5,3,5,2,2,3,1,2,1,2,5,5,5,1,3,3,1,5,1,1,2,7
30,4,4,2,3,4,2,4,3,5,3,6,7,4,2,5,3,1,5,3,5,4,4,4,4,4,3,5,3,5,5
21,3,3,4,4,4,4,4,3,5,4,6,5,4,5,5,4,3,4,2,4,4,3,4,4,4,4,5,6,6,6
45,4,1,4,4,2,2,3,4,5,5,5,6,4,5,3,5,5,1,5,2,4,3,3,3,6,3,3,6,1,5
16,2,3,3,1,1,1,2,3,4,3,2,2,1,2,1,4,2,1,4,4,3,2,3,3,4,2,2,2,1,4
37,3,4,3,4,3,3,4,3,6,2,6,7,4,5,2,3,4,5,5,5,4,4,2,2,4,6,4,5,5,4
