feature1,feature2,feature3,feature1_cn,feature2_cn,feature3_cn,r2,r2_improvement,coefficient
autonomy,family_support,openness,自主权,家庭支持,开放性,0.7173499530350332,0.0042182926055133185,-0.21807073974373808
communication_honesty,autonomy,social_contact,沟通坦诚度,自主权,社会接触,0.7172945936278531,0.004162933198333163,0.13034113426944804
months_in_hk,social_connectedness,cultural_maintenance,来港时长,社会联结感,文化保持,0.7172161048374437,0.004084444407923771,-0.2853203344868804
family_support,social_contact,cultural_maintenance,家庭支持,社会接触,文化保持,0.7171139395975342,0.003982279168014302,0.12032423510956863
social_connectedness,social_contact,cultural_contact,社会联结感,社会接触,文化接触,0.717107340373161,0.003975679943641119,0.18096151630320476
communication_honesty,cultural_maintenance,openness,沟通坦诚度,文化保持,开放性,0.7170942200945576,0.003962559665037668,-0.21097298554970922
family_support,social_contact,openness,家庭支持,社会接触,开放性,0.71700374420424,0.0038720837747200365,-0.2134345832666904
months_in_hk,communication_honesty,cultural_maintenance,来港时长,沟通坦诚度,文化保持,0.7169556217743247,0.0038239613448047827,0.30346717736893863
family_support,openness,cultural_contact,家庭支持,开放性,文化接触,0.716829345131756,0.0036976847022360815,-0.192782651286054
communication_honesty,autonomy,openness,沟通坦诚度,自主权,开放性,0.716474680576848,0.003343020147328124,-0.22488707337175062
social_connectedness,cultural_maintenance,openness,社会联结感,文化保持,开放性,0.7164469106153316,0.003315250185811691,-0.18072626656063012
autonomy,cultural_maintenance,openness,自主权,文化保持,开放性,0.7164253618640966,0.0032937014345766347,-0.18545749713929277
social_connectedness,cultural_contact,social_maintenance,社会联结感,文化接触,社会保持,0.7162749071363761,0.003143246706856173,0.16426708846533752
autonomy,openness,social_maintenance,自主权,开放性,社会保持,0.7162333463653794,0.003101685935859466,-0.2154487101688648
months_in_hk,autonomy,cultural_contact,来港时长,自主权,文化接触,0.7159982011933066,0.0028665407637866736,-0.23288165720370826
months_in_hk,social_contact,social_maintenance,来港时长,社会接触,社会保持,0.7159013711455595,0.0027697107160395973,-0.25103833190637304
family_support,social_contact,family_communication_frequency,家庭支持,社会接触,家庭沟通频率,0.7158238256597852,0.0026921652302652754,0.13475228789147103
social_connectedness,family_communication_frequency,cultural_contact,社会联结感,家庭沟通频率,文化接触,0.715502845869538,0.002371185440018131,0.1380195533518795
months_in_hk,social_connectedness,family_communication_frequency,来港时长,社会联结感,家庭沟通频率,0.7154900346092717,0.002358374179751821,0.21040856694064397
social_connectedness,openness,family_communication_frequency,社会联结感,开放性,家庭沟通频率,0.7152686828706099,0.0021370224410899308,-0.19558203643480312
autonomy,social_contact,social_maintenance,自主权,社会接触,社会保持,0.7151815167359223,0.00204985630640242,0.10878955659312889
months_in_hk,social_connectedness,cultural_contact,来港时长,社会联结感,文化接触,0.7150879424132401,0.0019562819837202206,-0.2491235409748625
social_connectedness,social_contact,social_maintenance,社会联结感,社会接触,社会保持,0.7149511422792527,0.0018194818497327958,0.11892602935281399
months_in_hk,social_connectedness,openness,来港时长,社会联结感,开放性,0.7144752076907022,0.001343547261182243,0.22092127977411402
social_connectedness,openness,cultural_contact,社会联结感,开放性,文化接触,0.7144111382190219,0.0012794777895019926,-0.13478200243813102
cultural_maintenance,openness,social_maintenance,文化保持,开放性,社会保持,0.714352801819355,0.0012211413898350898,-0.08488063110164717
months_in_hk,openness,social_maintenance,来港时长,开放性,社会保持,0.714165043903946,0.0010333834744260528,-0.1748772515223595
months_in_hk,social_contact,cultural_contact,来港时长,社会接触,文化接触,0.7140143666212864,0.0008827061917664469,0.10831319046042462
months_in_hk,family_support,social_contact,来港时长,家庭支持,社会接触,0.7139521750365906,0.0008205146070706659,0.12118118437496309
social_connectedness,family_support,openness,社会联结感,家庭支持,开放性,0.7138845303714805,0.0007528699419605545,-0.10208416251403067
months_in_hk,family_support,family_communication_frequency,来港时长,家庭支持,家庭沟通频率,0.7138184552059976,0.000686794776477706,-0.13731586600486756
communication_honesty,openness,family_communication_frequency,沟通坦诚度,开放性,家庭沟通频率,0.7137115957260798,0.0005799352965598636,-0.09067399561156245
social_contact,openness,social_maintenance,社会接触,开放性,社会保持,0.7135571707643636,0.00042551033484372613,0.07143138352549412
autonomy,social_contact,family_communication_frequency,自主权,社会接触,家庭沟通频率,0.7134999130152,0.00036825258568007335,0.04957728993436264
family_support,openness,family_communication_frequency,家庭支持,开放性,家庭沟通频率,0.7134477085685896,0.0003160481390697134,-0.069263940362713
months_in_hk,autonomy,social_contact,来港时长,自主权,社会接触,0.713401983853831,0.000270323424311103,0.08153700561811741
months_in_hk,social_connectedness,family_support,来港时长,社会联结感,家庭支持,0.7133976732171985,0.00026601278767857117,0.07920739391898549
months_in_hk,social_contact,family_communication_frequency,来港时长,社会接触,家庭沟通频率,0.7133934111850848,0.00026175075556489347,0.08219991606868002
openness,family_communication_frequency,social_maintenance,开放性,家庭沟通频率,社会保持,0.7133506202091793,0.00021895977965935565,0.07264560380411783
family_support,openness,social_maintenance,家庭支持,开放性,社会保持,0.7132600219680949,0.00012836153857498367,-0.03906903095282041
social_connectedness,autonomy,openness,社会联结感,自主权,开放性,0.7132334574533656,0.00010179702384571776,-0.04092187423877075
months_in_hk,cultural_maintenance,family_communication_frequency,来港时长,文化保持,家庭沟通频率,0.7132226254967461,9.096506722616748e-05,0.0540104382293546
autonomy,openness,family_communication_frequency,自主权,开放性,家庭沟通频率,0.7132162992676445,8.46388381245955e-05,0.025552189091304536
social_connectedness,openness,social_maintenance,社会联结感,开放性,社会保持,0.7132110739597088,7.941353018892094e-05,-0.028028374587483362
months_in_hk,communication_honesty,autonomy,来港时长,沟通坦诚度,自主权,0.7131691969464193,3.753651689941684e-05,-0.02760528424282367
months_in_hk,cultural_maintenance,social_maintenance,来港时长,文化保持,社会保持,0.7131667692272159,3.510879769597075e-05,-0.029159844964907283
communication_honesty,openness,social_maintenance,沟通坦诚度,开放性,社会保持,0.71316537446418,3.3714034660126124e-05,0.019565551038127904
social_connectedness,social_contact,openness,社会联结感,社会接触,开放性,0.7131584532997371,2.6792870217229314e-05,-0.01933952151832729
months_in_hk,family_communication_frequency,social_maintenance,来港时长,家庭沟通频率,社会保持,0.7131545816784738,2.2921248953866602e-05,0.02891452686303911
social_contact,openness,cultural_contact,社会接触,开放性,文化接触,0.7131374530710253,5.792641505353302e-06,0.006728746790314127
openness,cultural_contact,social_maintenance,开放性,文化接触,社会保持,0.7131316661785958,5.7490758820222254e-09,0.00022393935897705418
